Site,Tree,Stage,RipeningStage ,LD65,aD65,bD65,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm
DEGUEDO,A1C3,2,YG,53.02,-0.43,35.29,4.98,5.49,6.07,6.5,6.8,7.07,7.3,7.48,7.53,7.74,9.12,12.19,16.45,19.79,21.73,22.96,24,24.75,25.24,25.88,26.52,25.9,24.57,24.19,22.75,19.62,16.5,12.68,13.34,23.38,39.98
DEGUEDO,A1C3,2,YG,53.3,-4.16,35,5.62,6.11,6.47,6.67,6.84,7.17,7.45,7.64,7.7,8.05,9.77,13.25,17.81,21.26,23.13,24.18,24.78,24.82,24.57,24.68,25.07,24.41,23.11,22.71,21.21,18.15,15.34,11.88,12.43,21.81,38.25
DEGUEDO,A1C3,2,YG,51.19,-9.48,35.44,4.94,5.29,5.56,5.69,5.84,6.13,6.38,6.52,6.65,6.96,8.51,11.91,16.76,20.67,22.73,23.72,23.93,23.17,21.95,21.12,20.74,19.61,18.12,17.6,16.08,13.41,11.24,8.77,9.39,17.28,32.51
DEGUEDO,A1C3,2,YG,47.83,-9.9,30.93,5.04,5.29,5.47,5.56,5.65,5.9,6.11,6.18,6.28,6.53,7.75,10.5,14.62,17.97,19.7,20.52,20.66,19.83,18.58,17.7,17.25,16.23,14.88,14.38,12.97,10.72,9.19,7.51,8.11,14.82,29.23
DEGUEDO,A1C3,2,YG,44.31,-8.32,27.12,4.86,4.99,5.11,5.2,5.29,5.47,5.62,5.65,5.74,5.9,6.72,8.7,12.03,14.96,16.57,17.31,17.38,16.59,15.56,14.97,14.77,13.91,12.73,12.27,11.15,9.38,8.11,6.8,7.29,12.67,26.37
DEGUEDO,A1C3,3,RY,36.77,13.84,15.81,4.91,5.11,5.21,5.22,5.22,5.29,5.35,5.32,5.27,5.24,5.45,5.91,6.51,6.93,7.21,7.6,8.34,9.52,11.17,13.23,15.25,16.13,16.07,16.25,15.29,13.08,11.19,8.89,9.3,16.42,30.68
DEGUEDO,A1C3,3,RY,42.22,15.36,21.75,5.26,5.58,5.76,5.81,5.87,6,6.1,6.15,6.11,6.12,6.67,7.67,8.68,9.26,9.64,10.19,11.25,12.93,15.18,17.84,20.4,21.77,22.11,22.55,21.73,19.34,16.82,13.21,13.67,22.3,35
DEGUEDO,A1C3,3,RY,52.7,7.66,33.49,5.41,6.07,6.64,6.96,7.2,7.39,7.59,7.81,7.8,7.99,9.41,12.35,15.78,18.14,19.42,20.26,21.21,22.51,24.21,26.52,28.98,30.12,30.11,30.42,29.86,27.33,23.54,18.33,18.73,28.87,42.56
DEGUEDO,A1C3,3,RY,40.53,2.42,20.72,5.01,5.18,5.3,5.36,5.4,5.54,5.65,5.66,5.69,5.78,6.31,7.46,9.15,10.52,11.3,11.89,12.53,13.05,13.58,14.27,14.97,14.86,14.18,13.99,12.94,10.99,9.59,7.91,8.3,14.43,28.54
DEGUEDO,A1C3,3,RY,38.31,15.96,17.61,5.03,5.23,5.35,5.37,5.4,5.48,5.54,5.51,5.46,5.41,5.65,6.16,6.73,7.1,7.4,7.91,8.92,10.52,12.63,15.01,17.21,18.22,18.2,18.41,17.39,15.01,12.86,10.09,10.53,18.36,32.28
DEGUEDO,A1C3,3,RY,37.51,9.68,16.95,4.93,5.07,5.16,5.18,5.19,5.3,5.37,5.36,5.34,5.33,5.61,6.25,7.11,7.77,8.18,8.66,9.46,10.53,11.82,13.31,14.73,15.15,14.78,14.74,13.66,11.58,9.99,8.1,8.55,15.08,29.01
DEGUEDO,A1C3,3,RY,45.96,16.71,25.88,5.3,5.64,5.97,6.24,6.42,6.55,6.64,6.75,6.69,6.74,7.41,8.8,10.42,11.49,12.09,12.65,13.6,15.16,17.49,20.71,24.23,26.53,27.56,28.52,28.36,26.27,23.04,18.38,18.73,28.2,41.48
DEGUEDO,A1C3,3,RY,44.17,7.55,26.74,4.72,4.94,5.17,5.34,5.46,5.58,5.69,5.74,5.73,5.82,6.51,8.1,10.31,12.02,12.95,13.59,14.28,15.08,16.17,17.85,19.81,20.68,20.57,20.83,19.68,16.84,14.23,10.96,11.55,20.65,36.49
DEGUEDO,A1C3,3,RY,43.27,17.04,24.06,4.88,5.19,5.48,5.67,5.8,5.89,5.97,6.03,5.99,5.98,6.53,7.71,9.1,9.97,10.44,10.85,11.61,12.96,15.11,18.19,21.61,23.79,24.72,25.67,25.7,23.74,20.2,15.35,15.68,25.31,39.01
DEGUEDO,A1C3,3,RY,46.14,4.86,27.54,5.2,5.53,5.76,5.86,5.94,6.12,6.26,6.34,6.35,6.5,7.43,9.39,11.93,13.78,14.79,15.47,16.17,16.88,17.79,19.18,20.75,21.3,21,21.13,19.88,17.08,14.61,11.38,11.89,20.88,36.29
DEGUEDO,A1C3,4,R,27.95,11.46,5.04,4.59,4.56,4.5,4.46,4.44,4.43,4.42,4.38,4.38,4.35,4.36,4.37,4.41,4.43,4.46,4.52,4.66,4.94,5.41,6.12,7.08,8.06,9.06,10.16,10.7,10.36,9.8,8.36,8.9,14.99,25
DEGUEDO,A1C3,4,R,28.79,13.42,5.54,4.82,4.78,4.71,4.66,4.63,4.61,4.6,4.57,4.53,4.52,4.49,4.48,4.48,4.51,4.52,4.58,4.73,5.06,5.72,6.77,8.14,9.38,10.38,11.34,11.46,10.69,9.86,8.45,8.98,14.74,24.9
DEGUEDO,A1C3,4,R,34.81,24.84,14.43,4.82,4.93,4.96,4.94,4.92,4.91,4.91,4.87,4.8,4.72,4.77,4.9,5.02,5.08,5.15,5.34,5.85,6.92,8.82,11.65,15.04,17.89,19.87,21.57,22.17,20.96,18.54,14.61,15.03,23.79,35.63
DEGUEDO,A1C3,4,R,31.05,19.1,9.36,4.65,4.69,4.7,4.68,4.65,4.64,4.62,4.58,4.54,4.5,4.49,4.51,4.56,4.59,4.63,4.74,5,5.58,6.72,8.56,10.86,12.84,14.24,15.48,15.55,14.21,12.7,10.3,10.73,17.98,30.07
DEGUEDO,A1C3,4,R,30.34,15.84,8.28,4.71,4.7,4.67,4.65,4.62,4.61,4.59,4.56,4.5,4.48,4.47,4.48,4.54,4.59,4.66,4.79,5.08,5.65,6.7,8.28,10.19,11.6,12.35,13.01,12.54,11.01,9.74,8.04,8.43,14.48,27.12
DEGUEDO,A1C3,4,R,28.23,16.64,6.24,4.43,4.4,4.37,4.35,4.32,4.3,4.28,4.25,4.23,4.22,4.2,4.19,4.19,4.2,4.2,4.23,4.31,4.5,5,6.01,7.66,9.52,11.36,13.06,14.03,13.79,12.89,10.94,11.52,17.59,26.44
DEGUEDO,A1C3,4,R,32.98,26.67,13.03,4.58,4.6,4.6,4.61,4.57,4.55,4.54,4.53,4.48,4.48,4.48,4.53,4.62,4.74,4.81,4.89,5.02,5.4,6.43,8.65,12.26,16.25,19.8,22.82,24.57,24.16,21.98,17.76,18.14,27.68,40.53
DEGUEDO,A1C3,4,R,25.28,5.53,1.29,4.44,4.39,4.33,4.3,4.29,4.27,4.26,4.23,4.23,4.22,4.21,4.19,4.2,4.19,4.2,4.2,4.22,4.23,4.3,4.43,4.69,5.08,5.69,6.47,7.37,7.98,8.18,7.69,8.36,12.82,20.36
DEGUEDO,A1C3,4,R,32.8,23.17,11.14,4.88,4.96,4.99,4.96,4.92,4.9,4.87,4.81,4.74,4.64,4.62,4.63,4.67,4.7,4.75,4.89,5.24,6,7.5,9.89,12.86,15.43,17.32,18.92,19.3,18.03,16.21,13.14,13.5,21.41,33.25
DEGUEDO,A1C3,4,R,28.59,16.68,6.77,4.46,4.44,4.4,4.37,4.34,4.32,4.3,4.26,4.25,4.21,4.19,4.17,4.19,4.19,4.2,4.24,4.38,4.7,5.42,6.66,8.42,10.13,11.56,12.95,13.4,12.53,11.29,9.2,9.64,16.61,29.59
DEGUEDO,A1C3,5,P,26.61,8.59,3.17,4.5,4.46,4.42,4.38,4.36,4.35,4.34,4.3,4.29,4.28,4.27,4.27,4.3,4.31,4.32,4.36,4.43,4.57,4.84,5.26,5.87,6.53,7.31,8.2,8.93,9.13,8.96,8.12,8.68,13.26,20.77
DEGUEDO,A1C3,5,P,24.3,2.24,0.22,4.35,4.29,4.22,4.19,4.17,4.15,4.15,4.12,4.12,4.1,4.09,4.08,4.09,4.08,4.08,4.09,4.1,4.11,4.13,4.15,4.2,4.26,4.43,4.69,5.16,5.74,6.21,6.33,7.03,10.14,15.31
