Site,Tree,Stage,RipeningStage ,LD65,aD65,bD65,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm
DEGUEDO,A3C2,1,G,50.88,-11.03,31.83,5.41,5.91,6.29,6.46,6.59,6.92,7.21,7.35,7.44,7.81,9.31,12.49,17.13,20.95,22.94,23.77,23.66,22.47,20.92,19.95,19.46,18.37,16.96,16.44,15.1,12.84,11.07,9.08,9.55,16.09,30.11
DEGUEDO,A3C2,1,G,49.39,-12.31,30.64,4.7,5.01,5.51,5.98,6.34,6.7,6.97,7.1,7.15,7.44,8.67,11.31,15.64,19.67,22.05,23.12,22.89,21.23,19.22,18,17.37,16.24,14.89,14.43,13.37,11.54,10.03,8.47,8.88,14.26,27.27
DEGUEDO,A3C2,1,G,48.64,-11.2,29.85,4.94,5.34,5.77,6.04,6.23,6.52,6.76,6.87,6.96,7.23,8.48,11.15,15.35,18.99,20.97,21.81,21.62,20.3,18.68,17.71,17.25,16.22,14.9,14.41,13.28,11.36,9.85,8.24,8.67,14.31,27.57
DEGUEDO,A3C2,1,G,50.02,-13.01,32.7,5.18,5.55,5.84,5.98,6.09,6.35,6.57,6.69,6.77,7.07,8.32,11.25,16.11,20.5,22.96,24.01,23.73,22.01,19.88,18.54,17.87,16.65,15.15,14.63,13.41,11.3,9.68,8.02,8.45,14.5,29.21
DEGUEDO,A3C2,1,G,46.66,-13.47,29.38,4.9,5.12,5.34,5.47,5.59,5.82,6.01,6.1,6.16,6.41,7.47,9.89,14.03,17.85,19.97,20.83,20.43,18.64,16.59,15.35,14.75,13.67,12.4,11.96,10.99,9.39,8.15,6.98,7.4,12.18,25.11
DEGUEDO,A3C2,1,G,47.82,-12.07,30.91,4.64,4.87,5.19,5.46,5.67,5.96,6.17,6.27,6.33,6.59,7.65,10.14,14.35,18.29,20.62,21.67,21.46,19.89,17.98,16.79,16.16,15.11,13.88,13.44,12.25,10.35,9.01,7.62,8.15,13.85,27.21
DEGUEDO,A3C2,1,G,49.2,-13.37,31.53,4.73,5.02,5.44,5.79,6.05,6.36,6.61,6.72,6.79,7.06,8.23,10.9,15.47,19.76,22.27,23.37,23.06,21.18,18.94,17.58,16.91,15.69,14.27,13.75,12.68,10.88,9.38,7.88,8.29,13.65,27.35
DEGUEDO,A3C2,2,YG,47.86,-10.39,29.15,5.04,5.42,5.76,5.94,6.08,6.36,6.59,6.7,6.79,7.06,8.24,10.79,14.72,18.13,20.02,20.86,20.76,19.6,18.12,17.19,16.74,15.83,14.66,14.29,13.19,11.3,9.83,8.22,8.67,14.33,26.85
DEGUEDO,A3C2,2,YG,50.13,-9.35,31.36,5.09,5.6,6.06,6.29,6.45,6.75,7,7.14,7.21,7.53,8.93,11.95,16.32,19.9,21.74,22.55,22.54,21.65,20.46,19.76,19.45,18.48,17.14,16.65,15.28,12.97,11.18,9.14,9.6,16.32,30.23
DEGUEDO,A3C2,2,YG,48.93,-4.72,29.35,5.02,5.53,6.05,6.37,6.57,6.83,7.04,7.14,7.17,7.39,8.51,11.02,14.79,17.92,19.56,20.31,20.47,20.06,19.62,19.73,20.1,19.54,18.38,17.98,16.6,14.11,12.18,9.92,10.4,17.57,32.21
DEGUEDO,A3C2,2,YG,49.95,-10.94,31.85,4.87,5.33,5.79,6.05,6.23,6.54,6.81,6.95,7.04,7.38,8.75,11.75,16.28,20.1,22.12,22.97,22.81,21.53,19.97,19.06,18.67,17.64,16.28,15.79,14.49,12.29,10.56,8.66,9.16,15.66,29.61
DEGUEDO,A3C2,2,YG,46.67,-6.35,28.01,4.87,5.2,5.54,5.77,5.96,6.21,6.39,6.48,6.58,6.76,7.73,9.92,13.38,16.38,18.01,18.76,18.88,18.28,17.55,17.31,17.37,16.68,15.54,15.12,13.85,11.77,10.23,8.48,8.93,14.91,28.45
DEGUEDO,A3C2,2,YG,49.02,-1.68,28.56,5.1,5.59,6.11,6.49,6.76,7.1,7.34,7.47,7.51,7.73,8.89,11.35,14.73,17.39,18.73,19.36,19.67,19.69,19.79,20.46,21.36,21.18,20.21,19.92,18.54,15.89,13.61,10.91,11.35,19.17,34.31
DEGUEDO,A3C2,2,YG,52.41,-5.17,32.34,4.96,5.58,6.33,6.88,7.23,7.59,7.9,8.06,8.09,8.39,9.85,12.93,17.33,20.9,22.79,23.68,23.95,23.59,23.13,23.2,23.54,22.85,21.51,21.05,19.56,16.79,14.44,11.58,12.01,20.12,35.59
DEGUEDO,A3C2,2,YG,41.35,1.75,21.03,4.62,4.9,5.23,5.49,5.67,5.83,5.94,5.97,5.98,6.05,6.58,7.85,9.81,11.46,12.34,12.81,13.09,13.16,13.37,14.07,15.07,15.39,15.08,15.09,14.08,12.15,10.73,8.95,9.33,15.23,27.8
DEGUEDO,A3C2,2,YG,44.38,-0.95,24.31,4.78,5.1,5.49,5.81,6.03,6.23,6.39,6.46,6.44,6.58,7.36,9.07,11.69,13.89,15.08,15.64,15.79,15.55,15.46,16.04,16.95,17.01,16.41,16.28,15.18,13.05,11.41,9.48,9.86,16.16,30.02
DEGUEDO,A3C2,2,YG,44.96,-1.2,26.25,4.87,5.19,5.47,5.61,5.72,5.95,6.11,6.19,6.24,6.41,7.28,9.23,11.98,14.14,15.24,15.85,16.28,16.45,16.61,17.13,17.76,17.52,16.61,16.3,14.91,12.51,10.78,8.71,9.19,16,29.62
DEGUEDO,A3C2,3,RY,42.27,10.84,20.9,4.58,4.99,5.54,5.94,6.14,6.29,6.38,6.43,6.37,6.37,6.82,7.85,9.3,10.44,11,11.34,11.86,12.84,14.53,16.93,19.28,20.3,20.11,20.14,18.72,16,13.96,11.29,11.75,19.62,33.94
DEGUEDO,A3C2,3,RY,44.18,4.67,23.6,4.48,4.82,5.36,5.85,6.15,6.39,6.54,6.63,6.6,6.67,7.34,8.86,11.04,12.77,13.62,14.02,14.36,14.79,15.66,17.24,18.98,19.47,18.92,18.82,17.64,15.24,13.08,10.49,10.88,18.16,32.49
DEGUEDO,A3C2,3,RY,45.3,4.22,25.99,4.55,4.77,5.16,5.62,6.02,6.29,6.43,6.52,6.51,6.6,7.29,8.89,11.37,13.49,14.7,15.29,15.62,15.88,16.52,17.94,19.63,20.28,19.97,20.06,18.8,16.18,14.07,11.4,11.88,20.06,35.22
DEGUEDO,A3C2,3,RY,39.99,11,19.08,4.52,4.81,5.2,5.51,5.66,5.8,5.88,5.92,5.87,5.86,6.24,7.15,8.4,9.34,9.8,10.09,10.49,11.14,12.32,14.34,16.74,18.11,18.38,18.74,17.91,15.71,13.59,10.86,11.13,18.16,31.5
DEGUEDO,A3C2,3,RY,44.48,5.3,23.75,4.84,5.21,5.65,5.99,6.22,6.44,6.59,6.67,6.67,6.79,7.5,9.03,11.14,12.77,13.6,14.09,14.55,15.07,15.99,17.57,19.3,19.9,19.54,19.55,18.32,15.9,13.84,11.27,11.68,19.18,33.8
DEGUEDO,A3C2,3,RY,38.65,11.08,17.01,4.79,5.15,5.44,5.56,5.62,5.73,5.8,5.8,5.77,5.75,6.12,6.9,7.85,8.44,8.75,9.11,9.71,10.6,11.87,13.63,15.53,16.62,16.88,17.22,16.31,14.25,12.54,10.23,10.65,17.36,29.57
DEGUEDO,A3C2,3,RY,41.68,-0.01,21.08,4.73,5.05,5.38,5.6,5.73,5.93,6.06,6.09,6.11,6.2,6.79,8.12,10.11,11.69,12.52,13.07,13.57,13.89,14.2,14.74,15.25,14.89,13.99,13.67,12.49,10.63,9.33,7.91,8.37,14,27.15
DEGUEDO,A3C2,3,RY,37.76,14.55,16.52,4.72,5,5.24,5.36,5.42,5.52,5.57,5.58,5.53,5.5,5.76,6.38,7.15,7.65,7.9,8.18,8.69,9.57,10.96,13.03,15.47,17.17,17.94,18.75,18.06,15.86,13.85,11.04,11.44,19.41,33.97
DEGUEDO,A3C2,3,RY,36.81,11.06,15.02,4.63,4.82,5.05,5.25,5.4,5.52,5.58,5.59,5.54,5.5,5.68,6.16,6.86,7.42,7.77,8.12,8.73,9.65,10.95,12.65,14.33,15.05,14.94,15.01,14.1,12.3,10.84,9.03,9.44,15.19,27.08
DEGUEDO,A3C2,3,RY,43.92,2.86,23.75,5.19,5.55,5.78,5.86,5.92,6.15,6.31,6.37,6.4,6.51,7.25,8.83,10.95,12.54,13.37,13.98,14.7,15.42,16.23,17.29,18.25,18.14,17.29,17.02,15.66,13.25,11.42,9.23,9.72,16.73,30.75
DEGUEDO,A3C2,4,R,27.14,16.72,5.33,4.28,4.25,4.21,4.16,4.14,4.12,4.11,4.08,4.07,4.03,4.02,4.01,4,3.99,3.98,3.98,4,4.09,4.35,5.03,6.37,8.3,10.65,13.04,14.52,14.62,13.93,11.98,12.5,19.18,29.52
DEGUEDO,A3C2,4,R,28.19,17.42,6.43,4.43,4.42,4.38,4.32,4.27,4.26,4.23,4.2,4.17,4.13,4.11,4.09,4.09,4.07,4.08,4.09,4.15,4.38,5,6.32,8.25,10.16,11.76,13.24,13.58,12.58,11.44,9.43,9.87,16.69,29
DEGUEDO,A3C2,4,R,28.09,19.43,6.66,4.24,4.23,4.24,4.23,4.21,4.19,4.17,4.14,4.11,4.07,4.05,4.03,4.02,4,3.99,4,4.02,4.12,4.5,5.6,7.77,10.46,12.97,15.07,15.53,14.35,13.09,10.74,11.26,18.52,30.1
DEGUEDO,A3C2,4,R,31.37,18.25,9.47,4.57,4.67,4.75,4.75,4.73,4.76,4.74,4.69,4.61,4.52,4.5,4.53,4.58,4.61,4.67,4.84,5.23,6.03,7.35,9.23,11.33,12.89,13.81,14.64,14.4,13.08,11.77,9.81,10.18,16.05,26.48
DEGUEDO,A3C2,4,R,28.64,21.08,7.56,4.25,4.26,4.26,4.25,4.22,4.21,4.17,4.13,4.1,4.06,4.04,4.03,4.02,4,3.99,4.01,4.04,4.2,4.72,6.02,8.32,11.1,13.76,16.08,16.91,16.05,15,12.66,13.17,20.45,31.26
DEGUEDO,A3C2,4,R,28.83,18.62,6.69,4.38,4.41,4.45,4.46,4.44,4.43,4.4,4.36,4.34,4.29,4.26,4.25,4.24,4.22,4.21,4.23,4.27,4.48,5.05,6.35,8.44,10.71,12.75,14.53,15.14,14.35,13.19,11.02,11.51,18.24,28.81
DEGUEDO,A3C2,4,R,31.2,16.84,9.39,4.47,4.56,4.64,4.67,4.68,4.71,4.69,4.65,4.61,4.53,4.54,4.61,4.69,4.74,4.8,4.95,5.29,5.99,7.17,8.93,11,12.53,13.34,14.06,13.56,11.93,10.56,8.66,9.06,15.25,27.53
DEGUEDO,A3C2,4,R,34.27,24.99,13.81,4.37,4.52,4.71,4.83,4.87,4.9,4.89,4.85,4.76,4.66,4.68,4.82,4.97,5.04,5.1,5.21,5.54,6.3,7.91,10.86,14.82,18.22,20.34,21.84,21.24,18.77,16.63,13.22,13.64,22.52,36.46
DEGUEDO,A3C2,4,R,28.75,17.76,6.72,4.44,4.47,4.47,4.44,4.4,4.39,4.36,4.33,4.3,4.26,4.23,4.22,4.21,4.2,4.19,4.21,4.29,4.55,5.23,6.65,8.71,10.73,12.36,13.76,13.88,12.71,11.53,9.58,10.05,16.61,27.98
DEGUEDO,A3C2,4,R,31.3,17.24,9.76,4.35,4.46,4.58,4.65,4.66,4.68,4.66,4.62,4.55,4.46,4.46,4.53,4.64,4.71,4.79,4.95,5.31,6.02,7.24,9.11,11.29,12.83,13.58,14.19,13.61,11.98,10.61,8.73,9.07,14.87,26.25
DEGUEDO,A3C2,5,P,23.88,3.83,0.46,4.17,4.12,4.07,4.02,3.99,3.99,3.97,3.95,3.96,3.92,3.92,3.92,3.92,3.89,3.89,3.89,3.88,3.89,3.89,3.93,4,4.15,4.53,5.16,6.02,6.93,7.56,7.55,8.46,12.78,19.53
DEGUEDO,A3C2,5,P,23.94,1.73,0.04,4.22,4.18,4.14,4.11,4.08,4.08,4.07,4.06,4.05,4.03,4.03,4.03,4.02,4.01,4.01,4.01,4,4.01,4.01,4.03,4.06,4.1,4.19,4.38,4.75,5.3,5.82,6.08,6.84,10.28,16.65
DEGUEDO,A3C2,5,P,24.56,2.23,0.63,4.26,4.23,4.2,4.18,4.16,4.17,4.15,4.14,4.15,4.14,4.14,4.15,4.15,4.15,4.16,4.17,4.18,4.21,4.22,4.25,4.3,4.36,4.52,4.81,5.3,5.88,6.36,6.46,7.12,10.56,17.22
DEGUEDO,A3C2,5,P,23.72,3.36,0.25,4.13,4.09,4.04,4.01,3.99,3.98,3.96,3.94,3.94,3.91,3.9,3.89,3.89,3.87,3.87,3.87,3.86,3.87,3.87,3.89,3.94,4.06,4.35,4.89,5.7,6.56,7.15,7.14,7.95,12.21,19.91
DEGUEDO,A3C2,5,P,23.76,0.81,-0.17,4.21,4.16,4.12,4.09,4.06,4.07,4.05,4.03,4.03,4.01,4,4,4,3.99,4,3.99,3.99,4,4,4.02,4.03,4.04,4.06,4.11,4.17,4.34,4.62,5.04,5.77,7.91,11.88
DEGUEDO,A3C2,5,P,24.78,6.04,1.01,4.33,4.28,4.24,4.21,4.18,4.17,4.15,4.12,4.12,4.09,4.08,4.07,4.06,4.05,4.05,4.05,4.04,4.05,4.06,4.12,4.28,4.65,5.42,6.62,7.87,8.64,8.97,8.34,9.07,15.16,26.13
DEGUEDO,A3C2,5,P,24.04,1.17,0.07,4.22,4.19,4.15,4.12,4.1,4.11,4.09,4.08,4.08,4.07,4.06,4.06,4.06,4.05,4.06,4.06,4.06,4.07,4.08,4.1,4.12,4.15,4.2,4.27,4.4,4.72,5.15,5.62,6.49,9.16,13.84
DEGUEDO,A3C2,5,P,24.53,5.05,0.73,4.29,4.25,4.21,4.18,4.15,4.15,4.12,4.1,4.1,4.08,4.06,4.05,4.05,4.03,4.03,4.03,4.02,4.03,4.03,4.07,4.18,4.41,4.99,5.96,7.17,8.19,8.69,8.3,9.05,14.24,23.39
DEGUEDO,A3C2,5,P,24.01,1.65,0.01,4.27,4.22,4.17,4.14,4.11,4.11,4.09,4.08,4.08,4.06,4.05,4.05,4.05,4.04,4.04,4.04,4.03,4.04,4.04,4.04,4.06,4.07,4.13,4.27,4.64,5.34,6.13,6.65,7.76,11.85,18.59
DEGUEDO,A3C2,5,P,24.24,0.82,-0.02,4.31,4.27,4.22,4.2,4.18,4.19,4.17,4.16,4.16,4.14,4.14,4.14,4.14,4.13,4.14,4.14,4.14,4.15,4.15,4.17,4.19,4.21,4.25,4.3,4.39,4.55,4.78,5.07,5.56,7.17,10.73
DEGUEDO,A4C3,2,YG,56.06,-1.24,37.63,5.73,6.47,7.05,7.3,7.46,7.72,8.02,8.23,8.18,8.5,10.3,14.04,18.95,22.83,25.07,26.46,27.5,28.1,28.39,28.94,29.62,29.09,27.76,27.38,25.84,22.52,19.11,14.75,15.22,25.78,42.97
DEGUEDO,A4C3,2,YG,53.35,-6.5,36.08,5.21,5.72,6.2,6.47,6.65,6.92,7.2,7.36,7.38,7.68,9.25,12.62,17.49,21.61,23.98,25.31,25.93,25.63,24.79,24.31,24.18,23.06,21.39,20.8,19.32,16.5,13.82,10.78,11.19,19.63,36.31
DEGUEDO,A4C3,2,YG,53.35,-4.16,36.3,5.41,5.9,6.33,6.53,6.65,6.87,7.12,7.27,7.25,7.51,8.95,12.13,16.84,20.88,23.33,24.81,25.67,25.65,25.17,25.05,25.2,24.24,22.64,22.13,20.59,17.54,14.71,11.42,11.87,20.93,38.32
DEGUEDO,A4C3,2,YG,51.06,1.29,32.67,5.35,5.91,6.36,6.56,6.68,6.87,7.09,7.21,7.16,7.36,8.57,11.12,14.66,17.56,19.34,20.63,21.84,22.79,23.44,24.19,24.91,24.43,23.19,22.79,21.41,18.56,15.69,12.21,12.64,21.47,36.92
DEGUEDO,A4C3,2,YG,44.89,0.23,24.21,4.6,4.88,5.34,5.87,6.27,6.53,6.72,6.79,6.78,6.9,7.63,9.25,11.77,14,15.23,15.8,15.96,15.81,15.88,16.67,17.76,17.92,17.33,17.22,16.31,14.33,12.48,10.36,10.7,16.9,30.45
DEGUEDO,A4C3,2,YG,51.04,2.52,32.58,5.17,5.73,6.28,6.57,6.73,6.91,7.12,7.25,7.16,7.34,8.52,11.03,14.54,17.44,19.2,20.4,21.47,22.33,23.1,24.21,25.34,25.16,24.09,23.8,22.58,19.77,16.8,13.18,13.53,22.37,38.06
DEGUEDO,A4C3,2,YG,53.21,-8.35,36.73,5.31,5.76,6.11,6.28,6.41,6.66,6.92,7.06,7.1,7.41,8.99,12.5,17.71,22.08,24.54,25.8,26.2,25.5,24.26,23.49,23.17,22.01,20.38,19.79,18.37,15.66,13.09,10.19,10.68,18.76,34.36
DEGUEDO,A4C3,2,YG,49.09,-1.12,32.34,5.29,5.62,5.83,5.88,5.93,6.11,6.29,6.37,6.36,6.55,7.68,10.14,13.65,16.55,18.28,19.51,20.58,21.2,21.38,21.64,21.94,21.25,19.92,19.45,17.9,15.1,12.73,9.92,10.43,18.64,34.24
DEGUEDO,A4C3,2,YG,50,-1.03,33.13,5.36,5.7,5.95,6.04,6.11,6.29,6.48,6.58,6.56,6.75,7.91,10.43,14.07,17.12,19.05,20.44,21.6,22.18,22.3,22.56,22.91,22.18,20.8,20.34,18.75,15.81,13.31,10.39,10.9,19.6,36.65
DEGUEDO,A4C3,2,YG,48.12,-5.82,31.27,5.1,5.4,5.63,5.72,5.78,5.96,6.15,6.22,6.25,6.44,7.48,9.87,13.63,16.95,18.92,20.1,20.68,20.38,19.6,19.16,19,18.07,16.69,16.17,14.82,12.49,10.61,8.53,9.01,15.82,30.73
DEGUEDO,A4C3,3,RY,37.43,20.76,17.63,4.9,5.04,5.16,5.19,5.17,5.19,5.21,5.15,5.04,4.98,5.03,5.23,5.54,5.85,6.23,6.83,7.94,9.73,12.17,15.11,17.92,19.34,19.53,19.9,18.96,16.45,14,10.91,11.28,19.75,36.22
DEGUEDO,A4C3,3,RY,46.95,7.61,28.75,5.4,5.76,5.99,6.04,6.07,6.19,6.31,6.36,6.3,6.36,7.11,8.78,11.15,13.11,14.41,15.57,16.96,18.38,19.79,21.41,22.94,23.14,22.38,22.26,21.01,18.15,15.35,11.92,12.36,21.28,37.29
DEGUEDO,A4C3,3,RY,36.6,22.94,16.99,4.84,5,5.1,5.08,5.05,5.02,5.01,4.96,4.85,4.76,4.81,4.97,5.23,5.45,5.72,6.2,7.15,8.75,11.13,14.16,17.27,19.29,20.16,20.94,20.34,18.15,15.77,12.45,12.74,20.97,34.88
DEGUEDO,A4C3,3,RY,39.66,14.64,20.78,4.89,5.08,5.21,5.21,5.22,5.27,5.33,5.31,5.25,5.22,5.5,6.12,6.95,7.61,8.16,8.95,10.29,12.07,14.16,16.38,18.33,18.93,18.51,18.54,17.4,14.89,12.56,9.76,10.18,18.27,33.7
DEGUEDO,A4C3,3,RY,38.87,32.18,19.07,4.94,5.33,5.58,5.59,5.53,5.44,5.4,5.32,5.12,4.96,4.92,4.97,5.08,5.22,5.41,5.81,6.72,8.54,11.77,16.33,21.33,25.26,27.8,29.73,30.16,28.5,25.57,20.84,20.91,30.36,42.98
DEGUEDO,A4C3,3,RY,36.94,18.12,17.51,4.72,4.9,5.01,5.01,4.99,5.01,5.05,5.01,4.93,4.85,4.97,5.26,5.68,6.02,6.37,6.95,8.07,9.79,12.03,14.54,16.81,17.8,17.74,17.94,16.98,14.66,12.45,9.73,10.11,17.87,32.87
DEGUEDO,A4C3,3,RY,42.4,19.16,23.37,5.12,5.47,5.69,5.72,5.72,5.75,5.8,5.8,5.64,5.57,5.84,6.45,7.27,7.98,8.65,9.62,11.32,13.77,16.75,19.83,22.47,23.56,23.41,23.58,22.43,19.58,16.66,12.83,13.18,22.39,37.62
DEGUEDO,A4C3,3,RY,36.48,21.5,16.28,5.01,5.16,5.21,5.17,5.13,5.11,5.11,5.07,4.98,4.9,4.97,5.17,5.47,5.73,6,6.46,7.36,8.8,10.86,13.4,16.1,18.1,19.34,20.52,20.47,18.83,16.66,13.36,13.84,22.19,34.77
DEGUEDO,A4C3,3,RY,49.21,11.07,30.06,5.54,6.07,6.48,6.65,6.72,6.82,6.97,7.06,6.92,6.99,7.81,9.57,11.91,13.82,15.14,16.41,18.09,20.1,22.29,24.63,26.72,27.32,26.78,26.8,25.57,22.61,19.45,15.27,15.57,25.22,41
DEGUEDO,A4C3,3,RY,35.82,26.65,15.95,4.56,4.77,4.96,5.02,5.02,4.98,4.96,4.92,4.81,4.73,4.73,4.82,5,5.13,5.29,5.57,6.18,7.35,9.43,12.58,16.34,19.52,21.77,23.64,24.15,22.77,20.46,16.71,17.09,25.98,38.81
DEGUEDO,A4C3,4,R,24.88,8.41,1.9,4.18,4.14,4.11,4.07,4.06,4.03,4.03,4,4,3.97,3.95,3.94,3.94,3.93,3.92,3.91,3.92,3.92,3.98,4.15,4.58,5.32,6.43,7.78,8.96,9.43,9.32,8.27,8.87,14.47,24.07
DEGUEDO,A4C3,4,R,26.29,15.57,4.9,4.05,4.02,4.01,3.98,3.96,3.93,3.93,3.9,3.89,3.88,3.87,3.84,3.84,3.83,3.82,3.81,3.83,3.87,4.08,4.69,6,7.78,9.83,11.87,13.2,13.21,12.38,10.37,10.82,17.47,28.16
DEGUEDO,A4C3,4,R,33.71,28.91,14.96,4.47,4.58,4.62,4.57,4.51,4.44,4.41,4.36,4.27,4.21,4.18,4.17,4.19,4.23,4.32,4.52,5,6.02,7.97,10.96,14.6,17.95,20.68,23.08,24.33,23.67,21.51,17.44,17.93,27.54,39.99
DEGUEDO,A4C3,4,R,30.68,23.7,10.51,4.45,4.46,4.43,4.37,4.33,4.28,4.26,4.24,4.2,4.17,4.15,4.12,4.13,4.13,4.14,4.2,4.38,4.85,6.02,8.15,11.09,13.93,16.18,18.1,18.58,17.33,15.56,12.48,12.88,21.27,34.19
DEGUEDO,A4C3,4,R,32.12,23.83,12.22,4.45,4.51,4.55,4.52,4.49,4.45,4.42,4.38,4.32,4.25,4.22,4.21,4.24,4.28,4.35,4.5,4.9,5.78,7.43,9.95,12.92,15.36,17,18.41,18.58,17.06,15.01,11.85,12.19,20.26,33.01
DEGUEDO,A4C3,4,R,32.7,20.77,12.44,4.46,4.56,4.63,4.63,4.61,4.59,4.58,4.55,4.48,4.44,4.44,4.46,4.55,4.64,4.75,4.97,5.49,6.51,8.24,10.65,13.25,15.06,15.97,16.8,16.31,14.37,12.48,9.89,10.3,17.89,31.77
DEGUEDO,A4C3,4,R,31.13,25.57,11.65,4.35,4.36,4.35,4.31,4.25,4.22,4.2,4.17,4.13,4.09,4.08,4.06,4.07,4.09,4.12,4.2,4.45,5.01,6.19,8.25,11.11,14.14,16.98,19.57,21.11,20.93,19.57,16.48,17.19,25.91,37.48
DEGUEDO,A4C3,4,R,31.67,26.06,12.25,4.44,4.47,4.46,4.39,4.33,4.29,4.26,4.22,4.15,4.11,4.08,4.05,4.05,4.07,4.1,4.19,4.48,5.18,6.68,9.22,12.51,15.54,17.87,19.85,20.44,19.17,17.05,13.55,13.93,22.82,36.1
DEGUEDO,A4C3,4,R,40.7,26.29,22.18,4.84,5.15,5.39,5.45,5.44,5.44,5.44,5.39,5.21,5.07,5.15,5.41,5.79,6.16,6.63,7.42,8.95,11.44,14.87,18.92,22.77,25.05,25.81,26.56,25.86,23.16,19.9,15.34,15.64,25.66,40.82
DEGUEDO,A4C3,4,R,33.93,22.66,14.12,4.76,4.84,4.83,4.76,4.7,4.68,4.66,4.61,4.51,4.44,4.44,4.47,4.56,4.65,4.81,5.12,5.84,7.18,9.32,12.05,14.84,16.71,17.6,18.39,17.86,15.88,13.84,10.94,11.37,19.21,32
DEGUEDO,A4C3,5,P,24.38,7.9,1.83,4.03,4,3.97,3.93,3.91,3.89,3.89,3.87,3.86,3.85,3.85,3.83,3.83,3.82,3.81,3.8,3.81,3.82,3.86,3.99,4.31,4.88,5.83,7.13,8.53,9.53,9.9,9.18,10.06,15.84,24.44
DEGUEDO,A4C3,5,P,21.7,0.91,-0.19,3.59,3.55,3.53,3.49,3.48,3.46,3.46,3.44,3.44,3.42,3.42,3.4,3.41,3.4,3.4,3.39,3.4,3.4,3.41,3.42,3.44,3.46,3.5,3.53,3.6,3.73,3.97,4.3,4.92,6.91,11.03
DEGUEDO,A4C3,5,P,23.24,3.78,0.54,3.91,3.88,3.84,3.81,3.79,3.78,3.78,3.76,3.75,3.74,3.73,3.72,3.72,3.71,3.7,3.7,3.7,3.7,3.72,3.76,3.84,3.99,4.34,4.93,5.79,6.57,6.99,6.68,7.38,12.06,20.17
DEGUEDO,A4C3,5,P,23.33,5.49,1.12,3.85,3.81,3.77,3.75,3.72,3.7,3.7,3.69,3.68,3.68,3.67,3.65,3.65,3.65,3.64,3.64,3.65,3.66,3.68,3.73,3.85,4.15,4.74,5.69,6.85,7.78,8.18,7.65,8.36,13.49,21.9
DEGUEDO,A4C3,5,P,23.14,1.48,-0.23,4.03,3.99,3.96,3.92,3.9,3.88,3.87,3.85,3.85,3.83,3.82,3.8,3.8,3.79,3.79,3.77,3.77,3.78,3.78,3.79,3.81,3.84,3.88,3.96,4.2,4.71,5.36,5.97,7.1,10.58,16.3
DEGUEDO,A4C3,5,P,23.05,0.91,-0.21,4,3.95,3.92,3.89,3.86,3.85,3.84,3.83,3.82,3.82,3.8,3.78,3.78,3.78,3.78,3.77,3.78,3.78,3.79,3.8,3.82,3.85,3.87,3.9,3.98,4.16,4.44,4.8,5.43,7.62,11.78
DEGUEDO,A4C3,5,P,23.96,3.6,0.35,4.19,4.14,4.1,4.06,4.05,4.03,4.02,3.99,4,3.97,3.97,3.95,3.95,3.94,3.93,3.92,3.92,3.93,3.94,3.95,4.01,4.13,4.43,5,5.92,6.97,7.71,7.75,8.69,13.2,20.06
DEGUEDO,A4C3,5,P,22.02,0.75,-0.05,3.66,3.62,3.59,3.56,3.54,3.53,3.52,3.51,3.5,3.5,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.5,3.51,3.52,3.53,3.56,3.6,3.64,3.7,3.77,3.92,4.15,4.54,5.72,8.36
DEGUEDO,A4C3,5,P,23.28,0.52,-0.22,4.08,4.03,3.99,3.95,3.93,3.91,3.91,3.9,3.9,3.89,3.88,3.86,3.87,3.86,3.86,3.85,3.86,3.86,3.87,3.88,3.89,3.91,3.94,3.97,4.02,4.07,4.14,4.24,4.39,4.84,5.97
DEGUEDO,A4C3,5,P,22.49,1.57,-0.1,3.8,3.77,3.74,3.7,3.69,3.67,3.66,3.65,3.64,3.62,3.62,3.6,3.6,3.6,3.59,3.58,3.59,3.59,3.6,3.63,3.65,3.68,3.74,3.82,4.04,4.49,5.08,5.61,6.6,9.78,15.27
DEGUEDO,A2C2,1,G,57.4,-13.85,39.12,6.03,6.66,7.06,7.21,7.39,7.81,8.2,8.42,8.56,9.11,11.39,16.11,22.75,28.08,30.89,32.13,31.91,30.04,27.64,26.01,25.16,23.68,21.86,21.21,19.52,16.54,14.02,11.14,11.77,20.92,38.85
DEGUEDO,A2C2,1,G,55.19,-12.69,39.02,5.17,5.7,6.09,6.27,6.47,6.85,7.17,7.39,7.57,8.06,10.16,14.47,20.51,25.36,27.92,29.09,29.02,27.47,25.46,24.11,23.43,22.1,20.44,19.83,18.22,15.37,12.99,10.21,10.85,19.59,36.55
DEGUEDO,A2C2,1,G,53.16,-14.98,36.83,5.34,5.72,6,6.11,6.25,6.56,6.84,7,7.11,7.52,9.25,13.06,18.91,23.97,26.69,27.82,27.42,25.29,22.74,21.07,20.21,18.81,17.13,16.51,15.09,12.66,10.71,8.64,9.19,16.37,32.67
